Sub,Category,Dif,Time periods,Question,Answer
Business,Economics,2,"1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",LOT is the main airline of which country?,Poland.
Business,Economics,2,"1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Qantas Airways is the flag carrier airline of which country?,Australia.
Business,Economics,5,"1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",LATAM Airlines Group is an airline holding company headquartered in which city?,"Santiago, Chile."
Business,Economics,1,"1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Iberia is an airline headquartered in which country?,Spain.
Business,Economics,2,"1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Aeroflot is the largest airline of which country?,Russia.
Business,Economics,3,"1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",KLM is the main airline of which country?,The Netherlands.
Business,Economics,1,"1990s, 2000s, 2010s, 2020s",Lufthansa is the main airline of which country?,Germany.
Business,Economics,5,"1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Which airline is the flag carrier of Hong Kong?,Cathay Pacific.
Business,Economics,2,"1990s, 2000s, 2010s, 2020s",Aegean Airlines is the flag carrier airline of which country?,Greece.
Business,Economics,3,"1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Aer Lingus is the flag carrier airline of which country?,Ireland.
Business,Economics,5,"1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Gulf Air is the state-owned airline of which country?,Bahrain.
Business,Economics,4,"1990s, 2000s, 2010s, 2020s",Belavia is the state-owned airline of which country?,Belarus.
Business,Economics,5,"1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Avianca is the flag carrier airline of which country?,Colombia.
Business,Economics,4,"2010s, 2020s",Nordica is the state-owned airline of which country?,Estonia.
Business,Economics,4,"2000s, 2010s, 2020s",Air Astana is the main airline of which country?,Kazakhstan.
Business,Economics,1,"1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Luxair is the flag carrier airline of which country?,Luxembourg.
Business,Economics,4,"1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Copa Airlines is the flag carrier airline of which country?,Panama.
Business,Economics,5,"1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",TAROM is the flag carrier airline of which country?,Romania.
Business,Economics,5,"2000s, 2010s, 2020s",Conviasa is the flag carrier airline of which country?,Venezuela.
Celebrities,Pop culture,5,"1960s, 1970s",Which interior designer and director was Andy Warhol's longtime boyfriend?,Jed Johnson.
Lines,Literature,2,1970s,Which book starts with the line 'We were about ...when the drugs started to take hold.'?,Fear and Loathing in Las Vegas.
Popes,Theology,3,2000s,In what year did Pope John Paul II die?,2005
Popes,Theology,2,2000s,In what year was Pope Benedict elected pope?,2005
Artists,Music,4,"2000s, 2010s, 2020s",Husband and wife Win Butler and Régine Chassagne are members of which Canadian alternative rock band?,The Arcade Fire.
Buildings,Miscellaneous,1,"2010s, 2020s","What is the tallest building in London, UK?",The Shard. (Or London Bridge Tower)
War,History,3,1900-1950,In which year did the Warsaw Ghetto Uprising occur?,1943
Shows,Television,1,"2010s, 2020s",Jane Fonda and Michael Douglas star in which Netflix series?,Grace and Frankie.
Characters,Television,1,"2010s, 2020s","Homelander, Kimiko, Ezekiel, and Stormfront are heroes on which Amazon Prime series?",The Boys.
Buildings,Miscellaneous,1,"2000s, 2010s, 2020s",What is the tallest building in New York City?,One World Trade Center.
Unions,Politics,4,1980s,In which year was the Schengen Agreement signed?,1985
Unions,Politics,2,2020s,What is the name of the region comprising 27 European countries that have officially abolished all passport and all other types of border control at their mutual borders?,The Schengen Area.
Animals,Nature,1,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Which animal produces pearls?,Mollusks.
Films,Movies,1,2010s,What is Martin Scorceses' longest movie?,The Irishman.
Games,Video Games,1,"2000s, 2010s, 2020s","In the video game world, what does DOTA stand for?",Defense of the Ancients.
Regions,Geography,1,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Which two countries make up the Iberian Peninsula?,Spain and Portugal.
Brands,Food,2,"1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What mountain is depicted on the packaging of Toblerone chocolate bars?,The Matterhorn.
Brands,Food,1,"1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What fruit is in Bounty chocolate bars?,The coconut.
Pathology,Science,2,"2000s, 2010s, 2020s",What does SARS stand for?,Severe Acute Respiratory Syndrome.
Cities,Geography,1,"2000s, 2010s, 2020s","Gatwick, Stanstead, and Luton airports are near what major European city?","London, UK."
Films,Movies,2,2010s,The wrath of the fictional MEV-1 virus was depicted in which 2011 movie?,Contagion.
Books,Literature,2,2000s,Ambigrams are prominently featured in which 2000 Dan Brown novel?,Angels and Demons.
War,History,4,1900-1950,The demon core was part of which US development effort?,The Manhattan Project.
Education,Miscellaneous,3,"1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",In which US state is Princeton University located?,New Jersey.
Education,Miscellaneous,3,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What is the oldest university in the English-speaking world?,Oxford University.
Education,Miscellaneous,3,"1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s","INSEAD, the business university, has its European headquarters located in which country?",France.
Education,Miscellaneous,2,"1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Waseda University is located in which country?,Japan.
Education,Miscellaneous,2,"1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Leiden University is located in which country?,Netherlands.
Education,Miscellaneous,5,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s","Founded in 1386, what is Germany's oldest university?",Heidelberg University.
Education,Miscellaneous,4,"1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Universidade Federal de Minas Gerais is located in which country?,Brazil.
Education,Miscellaneous,4,"1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Bu-Ali Sina University is located in which country?,Iran.
Education,Miscellaneous,5,"1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Kasetsart University is located in which country?,Thailand.
Education,Miscellaneous,2,"1990s, 2000s, 2010s, 2020s",Edith Cowan University is located in which country?,Australia.
Education,Miscellaneous,1,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Which American university is home to all male final clubs?,Harvard Unversity.
Education,Miscellaneous,5,1970s,At which US university were four students shot dead for protesting the Vietnam War in 1970?,Kent State University.
Education,Miscellaneous,5,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Charles University is located in which European city?,"Prague, Czechia."
Education,Miscellaneous,2,"1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",In which US state is Cornell University located?,New York.
Education,Miscellaneous,4,"1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",In which US state is Yale University located?,Connecticut.
Traditions,Theology,2,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s","What is the pilgrimmage to Mecca that all Muslims must make at least once in their lifetimes, provided that they are financially able to, called?",The Hajj.
Places of Worship,Theology,3,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",How many times must Muslims circle around the Kaaba on their Hajj pilgrimmage?,Seven.
Places of Worship,Theology,4,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s","What is the name of the building at the center of Islam's most important mosque, the Masjid al-Haram in Mecca, Saudi Arabia?",The Kaaba.
Cryptocurrency,Economics,3,"2010s, 2020s",Which cryptocurrency is denoted by the ticker ADA?,Cardano.
Cryptocurrency,Economics,4,"2010s, 2020s",Which cryptocurrency is denoted by the ticker XMR?,Monero.
Cryptocurrency,Economics,1,"2000s, 2010s, 2020s",What is the three letter ticker for bitcoin?,BTC.
Cryptocurrency,Economics,5,"2010s, 2020s",XRP is the cryptocurrency used on which network?,Ripple.
Cryptocurrency,Economics,4,"2010s, 2020s",Which cryptocurrency is denoted by the ticker SOL?,Solana.
Cryptocurrency,Economics,1,"2010s, 2020s",What cryptocurrency is denoted by the ticker LTC?,Litecoin.
Celebrities,Pop culture,4,1970s,Who was the first member of the British Royal Family to graduate from university?,Prince Charles.
Other,Miscellaneous,3,"1980s, 1990s, 2000s, 2010s, 2020s",The United States' Diversity Immigrant Visa program is colloquially known as what?,The green card lottery.
Cryptocurrency,Economics,3,"2000s, 2010s, 2020s","In the cryptocurrency world, what does PoW stand for?",Proof-of-work.
Stadiums,Sports,5,2020s,The home arenas of which two National Hockey League teams are closest together?,The New Jersey Devils and the New York Rangers.
Stadiums,Sports,4,"2010s, 2020s",The home stadiums of which two National Football League teams are closest together?,The Washington Commanders and the Baltimore Ravens.
Stadiums,Sports,4,"2010s, 2020s",The home stadiums of which two National Football League teams are farthest apart?,The Seattle Seahawks and the Miami Dolphins.
Stadiums,Sports,2,2020s,The home arena of which National Hockey League team is farthest north?,The Edmonton Oilers.
Leagues,Sports,2,2020s,How many Canadian teams are in the National Hockey League?,Seven.
Equipment,Sports,4,"1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",How many panels are there on a standard soccer ball?,32
Events,Sports,5,"1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Which two soccer teams compete in El Clásico?,Barcelona and Real Madrid.
World Cups,Sports,2,2010s,Which team lost their Nike footwear a week before the 2018 World Cup due to sanctions?,Iran.
Rules,Sports,1,"1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",How long is an international soccer match without extra time?,90 minutes.
Teams,Sports,4,"1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Which national soccer team is nicknamed Les Elephants?,Ivory Coast.
Athletes,Sports,2,1950s,How many goals did Brazilian soccer legend Pelé score in his league debut?,Four.
Teams,Sports,5,"1980s, 1990s, 2000s, 2010s, 2020s",Gooners are fans of which soccer team?,Arsenal.
Rules,Sports,2,"1990s, 2000s, 2010s, 2020s",How many player substitutions are allowed in an official soccer match?,Three.
Atheletes,Sports,3,1980s,Which player scored the 'Hand of God' goal in a match of the 1986 World Cup?,Diego Maradona.
Restaurants,Food,5,1980s,What Mexican fast food chain was purchased by Denny’s restaurants in 1983?,El Pollo Loco.
Restaurants,Food,2,"1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Which breakfast restaurant chain is known for its Grand Slam Meal?,Denny's.
Alcohol,Food,1,"1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",A cocktail made of orange juice and champagne is known as a what?,Mimosa.
Cities,Geography,2,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Which city is alternatively romanized as Peking?,Beijing.
Events,Sports,2,"1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",On which Parisian street does the Tour de France finish?,Champs-Elysees.
Geometry,Math,1,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Two triangles whose angles are equal and whose sides are equal in length are said to be what?,Congruent.
Geometry,Math,1,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Triangles said to be similar to each other have the same what?,Angles.
Unions,Politics,2,"1970s, 1980s, 1990s, 2000s, 2010s, 2020s",How many emirates make up the United Arab Emirates?,Seven.
Unions,Politics,4,"1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Name three of the seven United Arab Emirates.,"Abu Dhabi, Ajman, Dubai, Fujairah, Ras Al Khaimah, Sharjah, and Umm Al Quwain."
Policies,Economics,1,"2010s, 2020s",Abenomics was a series of sweeping economic reforms of which country?,Japan.
Artists,Music,5,1960s,Who composed the James Bond theme?,Monty Norman.
Business,Economics,2,"1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Embraer is a passenger aircraft manufacturer based in which country?,Brazil.
Business,Economics,1,"1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Bombardier is a passenger aircraft and train manufacturer based in which country?,Canada.
Business,Economics,1,"1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Airbus is a passenger aircraft manufacturer headquartered in which country?,France.
Alcohol,Food,1,"1990s, 2000s, 2010s, 2020s",In which country is Grey Goose vodka distilled and bottled?,France.
Alcohol,Food,2,"1990s, 2000s, 2010s, 2020s",In which country is Belvedere vodka distilled and bottled?,Poland.
Alcohol,Food,4,"1990s, 2000s, 2010s, 2020s",In which country is Chopni vodka distilled and bottled?,Poland.
Business,Economics,3,"2000s, 2010s, 2020s",In which country is the shipping company DHL headquartered?,Germany.
Details,Movies,1,2000s,The 2009 movie District 9 took place in which city?,"Johannesburg, South Africa."
Business,Economics,2,"1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Adidas was founded in which country?,Germany.
Business,Economics,1,"1980s, 1990s, 2000s, 2010s, 2020s",Gazprom is an oil and gas company based in which country?,Russia.
Business,Economics,1,"1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Sony was founded in which country?,Japan.
Geometry,Math,1,"1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What is the usually semi-circular tool used to measure angles called?,A protractor.
Characters,Literature,3,"1980s, 1990s, 2000s, 2010s",What is Geralt's horse's name in the The Witcher book series?,Roach.
Business,Economics,1,"2000s, 2010s, 2020s",In which country was the company Alibaba founded?,China.
Business,Economics,1,"1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",In which country was Samsung founded?,South Korea.
Characters,Video Games,1,"1990s, 2000s, 2010s, 2020s",Which Nintendo character has a zig zag mustache and wears a yellow hat?,Wario.
Games,Video Games,4,1990s,What is the subtitle for the SNES video game Donkey Kong Country 2?,Diddie's Kong Quest.
Games,Video Games,5,1990s,What is the subtitle for the SNES video game Donkey Kong Country 3?,Dixie Kong's Double Trouble.
Games,Video Games,3,1980s,What other game is the NES Super Mario Bros. paired with in the same cartridge?,Duck Hunt.
Levels,Video Games,4,1990s,What is the first level in the first Tony Hawk's Pro Skater video game called?,The Warehouse.
Levels,Video Games,4,1990s,What is the first world in the 1996 video game Super Mario 64 game called?,Bob-Omb Battlefield.
Leaders,Politics,5,2010s,Which former Prime Minister of Poland served as President of the European Council from 2014 to 2019?,Donald Tusk.
Games,Video Games,5,1990s,Blast Corps. is a video game made for which console?,The Nintendo 64.
Astrology,Theology,4,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Someone born on New Years Day has which Zodiac sign?,Capricorn.
Astrology,Theology,3,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Which Zodiac sign follows Aquarius?,Pisces.
Astrology,Theology,1,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Twins represent which Zodiac sign?,Gemini.
Astrology,Theology,4,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Someone born on June 22nd has which Zodiac sign?,Cancer.
Astrology,Theology,3,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Which Zodiac sign follows Capricorn?,Aquarius.
Astrology,Theology,5,"2000s, 2010s, 2020s",Someone born on 9/11 has which Zodiac sign?,Virgo.
Astrology,Theology,5,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Someone born on October 19th has which Zodiac sign?,Libra.
Astrology,Theology,5,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Someone born on Halloween has which Zodiac sign?,Scorpio.
Astrology,Theology,5,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Someone born on August 1st has which Zodiac sign?,Leo.
Astrology,Theology,1,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Which Zodiac sign is represented by the bull?,Taurus.
Astrology,Theology,4,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",The archer represents which Zodiac sign?,Sagittarius.
Astrology,Theology,4,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Which Zodiac sign is represented by the ram?,Aries.
Astrology,Theology,5,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Which Zodiac sign is also known as the Moonchild?,Cancer.
Characters,Movies,1,1900-1950,What is the talking candlestick's name in the 1946 movie Beauty and the Beast?,Lumiere.
Films,Movies,2,2000s,What is the second Pirates of the Carribean movie's subtitle?,Dead Man's Chest.
Human Body,Nature,1,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What is the largest muscle in the human buttocks called?,The gluteus maximus.
Alcohol,Food,1,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What country is port wine from?,Portugal.
Products,Pop culture,3,"2010s, 2020s",What is the name of Kanye West's sneaker brand?,Yeezy.
Events,History,5,2020s,"What is the name of the container ship belonging to Evergreen that, in 2021, blocked the Suez canal for six days?",The Ever Given.
2010s,Pop culture,5,2010s,In which year did Ricky Martin publicly come out as gay?,2010
1990s,Pop culture,5,1990s,In which year did Ellen DeGeneres come out as lesbian via Time magazine?,1997
Buildings,Miscellaneous,3,"1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Big Ben is a famous what?,Bell.
Plays,Theater,2,"1980s, 1990s, 2000s, 2010s, 2020s","Javert, Eponine, Gavroche, and Cosette are characters in which musical?",Les Miserables.
Artists,Music,4,"1990s, 2000s, 2010s, 2020s",Brandon Boyd is the lead singer of which alternative rock band?,Incubus.
Festivals,Music,5,"2010s, 2020s",The Mad Cool music festival is held in which country?,Spain.
Characters,Movies,3,1990s,What is the name of the baboon character in the 1994 movie The Lion King?,Rafiki.
Characters,Movies,2,1980s,What is the name of the villain in the 1989 movie The Little Mermaid?,Ursula.
Terms,Sports,1,"1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s","In basketball, what is the term for an offensive play in which one player throws the ball near the basket to a teammate who jumps, catches the ball in mid-air and dunks or lays it in the basket before touching the ground?",Alley-oop.
Books,Literature,2,1980s,What is the Stephen King book with the shortest title?,It.
Consoles,Video Games,4,1990s,What accesory was needed to play with more than two players on the Sony PlayStation?,The Multitap.
Rules,Sports,1,"1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What is the minimum distance the ball has to travel in the air for an onside kick to be considered legal in the National Football League?,Ten yards.
Actors,Movies,3,2000s,Which actor starred in both The Matrix and The Lord of the Rings trilogies?,Hugo Weaving.
Films,Movies,4,2000s,What is the name of the series of animated shorts set in The Matrix universe?,The Animatrix.
Characters,Movies,1,1990s,"Mouse, Switch, Tank, and Dozer are characters in which 1999 movie?",The Matrix.
Leagues,Sports,1,"1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s","How high, in feet, is the rim of the basket off the ground in the National Basketball League?",Ten feet.
Leagues,Sports,3,"1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s","What are, in feet, the dimensions of the nets in the National Hockey League?",4 feet by 6 feet.
Equipment,Sports,4,"1980s, 1990s, 2000s, 2010s, 2020s",How many panels are on a standard basketball?,Eight.
Symbols,Theology,3,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",How many triangles are found in the Star of David?,Eight.
Problems,Math,2,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Which prime number follows 19?,23
Deaths,Pop culture,2,2020s,In which year did Gilbert Gottfried die?,2022
Figures,History,2,1500-1800,Who was known as the Father of New France?,Samuel de Champlain.
Landmarks,Geography,2,"1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Which Canadian province and which US state are on either side of Niagara Falls?,Ontario and New York State.
Films,Movies,4,2010s,The 2010 movie Into the Wind is a documentary about which Canadian icon?,Terry Fox.
Characters,Television,2,"2010s, 2020s",What is the name of the tech savvy boy leader of the pups in PAW Patrol?,Ryder.
Artists,Music,3,"1980s, 1990s, 2000s, 2010s, 2020s",Which rockstar's name is an anagram of 'oral sex'?,Axl Rose.
Books,Literature,4,1990s,Who wrote the 1990 novel Jurassic Park?,Michael Crichton.
Lines,Movies,3,1970s,Which character says the first lines in the movie Star Wars Episode IV: A New Hope?,C-3PO.
Chemistry,Science,2,"1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s","In chemistry, when a solution cannot dissolve any more solute, it is said to be what?",Saturated.
Games,Miscellaneous,3,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What is the sum of the number of white squares on a chess board and the total number of pawns at the beginning of the game?,48. (32 + 16)
Terms,Math,5,"1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s","In calculus, what is the term for an equation that relates one or more unknown functions and their derivatives?",A differential equation.
Terms,Math,5,"1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s","In mathematics, what is the name of the series of a function that is an infinite sum of terms that are expressed in terms of the function's derivatives at a single point?",The Taylor series.
Games,Miscellaneous,3,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s","In chess, what is the maximum number of squares a knight could potentially move to in one move?",Eight.
Games,Miscellaneous,4,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s","In chess, what is the maximum number of squares a queen could potentially move to in one move?",21
Theory,Music,2,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s","According to music theory, what is the minimum number of notes needed to make a chord?",Three.
Translation,Language,1,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What does 'obrigado' or 'obrigada' mean in Portuguese?,Thank you.
Artists,Music,3,1980s,Who composed the soundtrack for the 1982 movie Blade Runner?,Max Vangelis.
Producers,Music,5,2000s,Who produced Jay-Z's 2004 hit 99 Problems?,Rick Rubin.
Aliases,Pop culture,5,"1980s, 1990s, 2000s, 2010s, 2020s",What is the stage name of the musician Richard Melville Hall?,Moby.
Artists,Music,3,"1970s, 1980s",Who was the lead singer of the band Joy Division?,Ian Curtis.
Albums,Music,2,2000s,"Which musician's albums include Continuum, Heavier Things, and Room for Squares?",John Mayer.
Songs,Music,3,1970s,"Which band's songs include Cross-Eyed Mary, Living in the Past, Bungle in the Jungle, and Aqualung?",Jethro Tull.
Artists,Music,2,"1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What is Bruce Springsteen's backing band called?,The E Street Band.
Deaths,Pop culture,4,1970s,In which year did Elvis Presley die?,1977
Artists,Music,2,"1990s, 2000s, 2010s",Name both members of the rock band The White Stripes.,Jack White and Meg White.
Artists,Music,5,"1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What is Ringo Starr's real name?,Richard Starkley.
Artists,Music,5,"2000s, 2010s, 2020s",Who is the lead vocalist of the rock band Arctic Monkeys?,Alex Turner.
Festivals,Music,4,2020s,Who became the youngest person to headline Coachella music festival in 2022?,Billie Eilish.
Festivals,Music,4,2020s,Who became the oldest solo act to headline Glastonbury Festival in 2022?,Paul McCartney.
Animals,Nature,3,2020s,Which animal has killed more humans than any other?,Mosquitoes.
Leaders,Politics,2,"2010s, 2020s",How many Supreme Court Justices did Donald Trump appoint between 2017 and 2021?,Three.
Leaders,Politics,1,2010s,Who succeeded David Cameron as Prime Minister of the United Kingdom?,Theresa May.
Leaders,Politics,5,2010s,Who became the 14th Prime Minister of India in 2014?,Narendra Modi.
Authors,Literature,3,2000s,Which now-famous podcaster wrote the controversial 2004 book The End of Faith?,Sam Harris.
Celebrities,Pop culture,4,2020s,"Which Russian-born American computer scientist, artificial intelligence researcher, and podcast host works and teaches at the Massachusetts Institute of Technology?",Lex Fridman.
Artists,Music,3,"1980s, 1990s, 2000s, 2010s, 2020s",Which country is the music group Ace of Base from?,Sweden.
Details,Television,3,"1990s, 2000s, 2010s, 2020s",How many spikes are on Bart Simpson's head?,Nine.
Characters,Television,5,"1990s, 2000s, 2010s, 2020s",The character on the television show The Simpsons named Nicholas Riviera is more commonly known as what?,Dr Nick.
Rules,Sports,1,"1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",In which sport would a team be penalized for 'three in the key'?,Basketball.
Chemistry,Science,3,"1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What does the letter D stand for in chemical formulas?,Deuterium or heavy hydrogen.
Awards,Movies,2,2020s,Which coming-of-age comedy-drama won the Oscar for Best Picture at the 94th Academy Awards in 2022?,CODA.
Awards,Movies,2,2020s,Which movie won the Oscar for Best Picture at the 93rd Academy Awards in 2021 with a budget of only $5 million?,Nomadland.
Awards,Movies,2,2010s,Which Viggo Mortensen and Mahershala Ali movie won the Oscar for Best Picture at the 91st Academy Awards in 2019?,Green Book.
Awards,Movies,1,2010s,Which Guillermo del Toro movie won the Oscar for Best Picture at the 90th Academy Awards in 2018?,The Shape of Water.
Awards,Movies,3,2010s,Which Barry Jenkins coming-of-age drama won the Oscar for Best Picture at the 89th Academy Awards in 2017?,Moonlight.
